pid	vid
101780	736191
101781	736196
101782	945621
101783	545381
101784	660741
101785	736201
101786	736206
101787	945626
101788	736211
101789	416161
101790	425736
101791	411626
101792	420561
101793	736216
101794	945631
101795	383906
101796	945636
101797	529256
101798	445376
101799	385841
101800	341941
101801	435476
101802	561686
101803	736221
101804	945641
101805	736226
101806	429376
101807	308886
101808	736231
101809	356451
10181	468056
101810	736236
101811	736241
101812	463471
101813	483361
101814	529826
101815	556616
101816	945646
101817	736781
101818	736786
101819	642606
101820	648531
101821	736791
101822	341636
101823	736796
101824	945651
101825	945656
101826	736801
101827	479381
101828	736806
101829	316931
101830	537726
101831	315001
101832	736811
101833	736816
101834	378026
101835	597711
101836	510216
101837	736821
101838	618526
101839	642611
101840	492556
101841	491746
101842	736826
101843	623271
101844	671071
101845	368101
101846	736831
101847	736836
101848	310466
101849	540366
101850	495591
101851	736841
101852	736846
101853	317501
101854	611756
101855	560236
101856	512726
101857	736851
101858	542626
101859	560791
10186	10186
101860	368161
101861	513206
101862	736856
101863	736861
101864	526911
101865	385481
101866	624126
101867	736866
101868	736871
101869	612846
101870	433146
101871	557866
101872	736876
101873	411956
101874	945661
101875	584131
101876	546051
101877	736881
101878	736886
101879	381336
101880	509841
101881	330036
101882	736891
101883	316831
101884	334236
101885	945666
101886	499021
101887	736896
101888	381266
101889	521471
101890	945671
101891	736901
101892	571501
101893	736906
101894	527346
101895	945676
101896	400846
101897	736911
101898	535066
101899	945681
101900	415266
101901	581241
101902	736916
101903	474206
101904	945686
101905	945691
101906	406841
101907	736921
101908	485531
101909	323906
10191	493126
101910	575196
101911	385581
101912	736926
101913	736931
101914	481651
101915	675306
101916	581376
101917	736936
101918	736941
101919	945696
101920	561981
101921	343286
101922	736946
101923	736951
101924	380621
101925	471771
101926	736956
101927	736961
101928	412546
101929	475241
101930	439066
101931	360706
101932	736966
101933	489116
101934	419591
101935	656186
101936	736971
101937	736976
101938	736981
101939	512436
101940	386461
101941	614676
101942	736986
101943	736991
101944	945701
101945	545886
101946	398626
101947	736996
101948	737001
101949	945706
101950	523606
101951	737006
101952	737011
101953	737016
101954	945711
101955	945716
101956	737021
101957	737026
101958	395206
101959	593851
10196	612291
101960	527171
101961	737031
101962	737036
101963	737041
101964	945721
101965	513231
101966	737046
101967	737051
101968	419266
101969	536226
101970	945726
101971	737056
101972	737061
101973	737066
101974	945731
101975	945736
101976	737071
101977	737076
101978	737081
101979	540261
101980	945741
101981	737086
101982	737091
101983	737096
101984	945746
101985	305706
101986	737101
101987	737106
101988	737111
101989	336271
101990	945751
101991	737116
101992	737121
101993	737126
101994	467531
101995	404406
101996	545211
101997	737131
101998	737136
101999	608856
102000	945756
102001	737141
102002	737146
102003	737151
102004	335551
102005	365541
102006	737156
102007	737161
102008	352701
102009	343446
10201	470181
102010	945761
102011	737166
102012	737171
102013	737176
102014	430946
102015	945766
102016	737181
102017	737186
102018	385886
102019	324791
102020	945771
102021	737191
102022	617841
102023	737196
102024	593141
102025	330521
102026	737201
102027	737206
102028	737211
102029	435681
102030	617331
102031	625916
102032	737216
102033	737221
102034	455486
102035	318416
102036	737226
102037	405431
102038	737231
102039	345536
102040	946146
102041	546971
102042	737236
102043	737241
102044	464181
102045	946151
102046	618766
102047	737246
102048	737251
102049	309576
102050	617271
102051	737256
102052	737261
102053	737266
102054	946156
102055	946161
102056	737271
102057	737806
102058	737811
102059	946166
10206	690851
102060	576551
102061	673226
102062	737816
102063	504306
102064	332821
102065	946171
102066	737821
102067	737826
102068	737831
102069	946176
102070	457981
102071	532541
102072	737836
102073	737841
102074	367011
102075	946181
102076	737846
102077	362251
102078	946186
102079	737851
102080	625766
102081	737856
102082	946191
102083	946196
102084	737861
102085	473421
102086	737866
102087	562516
102088	369636
102089	737871
102090	737876
102091	449041
102092	946201
102093	946206
102094	737881
102095	737886
102096	459126
102097	946211
102098	737891
102099	490456
1021	688171
102100	737896
102101	737901
102102	946216
102103	737906
102104	511056
102105	737911
102106	325536
102107	468601
102108	737916
102109	946221
10211	506851
102110	737921
102111	616131
102112	470296
102113	737926
102114	659506
102115	737931
102116	454126
102117	625866
102118	737936
102119	360211
102120	594066
102121	675156
102122	397231
102123	337376
102124	324011
102125	737941
102126	326386
102127	737946
102128	737951
102129	372431
102130	737956
102131	946226
102132	737961
102133	737966
102134	659811
102135	737971
102136	354671
102137	737976
102138	737981
102139	946231
102140	737986
102141	946236
102142	737991
102143	737996
102144	568681
102145	738001
102146	946241
102147	738006
102148	738011
102149	659751
102150	946246
102151	593331
102152	621656
102153	738016
102154	659806
102155	512246
102156	738021
102157	394921
102158	738026
102159	659766
10216	10216
102160	946251
102161	312846
102162	738031
102163	738036
102164	347176
102165	617256
102166	738041
102167	738046
102168	738051
102169	441666
102170	354236
102171	306231
102172	738056
102173	738061
102174	653011
102175	576031
102176	738066
102177	738071
102178	738076
102179	652986
102180	738081
102181	568316
102182	623111
102183	738086
102184	528461
102185	308146
102186	399676
102187	738091
102188	738096
102189	946256
102190	738101
102191	499186
102192	738106
102193	738111
102194	660681
102195	499551
102196	738116
102197	738121
102198	507356
102199	601076
102200	946261
102201	738126
102202	738131
102203	738136
102204	946266
102205	406496
102206	331326
102207	738141
102208	738146
102209	946271
10221	10221
102210	946276
102211	738151
102212	406656
102213	738156
102214	946281
102215	479856
102216	738161
102217	738166
102218	738171
102219	685471
102220	660856
102221	340036
102222	738176
102223	738181
102224	650351
102225	458751
102226	738186
102227	738191
102228	529881
102229	455891
102230	946286
102231	515521
102232	738196
102233	497976
102234	629046
102235	548971
102236	386641
102237	738201
102238	738206
102239	946291
102240	530581
102241	738211
102242	738216
102243	738221
102244	510226
102245	345171
102246	738226
102247	738231
102248	738236
102249	521641
102250	946296
102251	599026
102252	738241
102253	946301
102254	738246
102255	534116
102256	738251
102257	738256
102258	493046
102259	738261
10226	425441
102260	946306
102261	738266
102262	738271
102263	578551
102264	738276
102265	660636
102266	738281
102267	738286
102268	738291
102269	659846
102270	946311
102271	319601
102272	738296
102273	659666
102274	946316
102275	738301
102276	738306
102277	738311
